Time,C G1 G1,C G1 G2,C G1 G3,C G1 G4,C G2 G2,C G2 G3,C G2 G4,C G3 G3,C G3 G4,C G4 G4,CC G1,CC G2,CC G3,CC G4,CVS G1,CVS G2,CVS G3,CVS G4,CI G1,CI G2,CI G3,CI G4,CAB G1 G3,CAB G1 G4,DME,FT,I G1,I0 G1,I G2,I0 G2,I G3,I0 G3,I G4,I0 G4,IT,P G1,P G2,P G3,P G4,PT0 G1,PT0 G2,PT0 G3,PT0 G4,PTE,R G1,R G2,R G3,R G4,S G1,S0 G1,S G2,S0 G2,S G3,S0 G3,S G4,S0 G4,SAVEPER,TC G1,TCS G1 G1,TCS G1 G2,TCS G1 G3,TCS G1 G4,TC G2,TCS G2 G1,TCS G2 G2,TCS G2 G3,TCS G2 G4,TC G3,TCS G3 G1,TCS G3 G2,TCS G3 G3,TCS G3 G4,TC G4,TCS G4 G1,TCS G4 G2,TCS G4 G3,TCS G4 G4,TCONTAGIO G1,TCONTAGIO G2,TCONTAGIO G3,TCONTAGIO G4,TR,TIME STEP,TVS
30,,,,,,,,,,,415504,239695,989732,494866,53951,352243,152851,0.764257,498279,227912,859208,429604,,,,,332404,,191756,,791786,,395893,,,0.332404,0.383513,0.395893,0.395893,,,,,,269755,176122,764257,382128,397842,999,132122,500,443957,200,221979,100,,250491,132961,0.383513,0.395893,0.395893,345003,0.332404,153405,0.791786,0.791786,387068,0.332404,0.767025,158357,118768,387068,0.332404,0.767025,118768,158357,0.125246,0.172501,0.193534,0.193534,125,,
31,,,,,,,,,,,422082,236286,966062,483031,611877,392454,169211,0.846053,445774,194813,723847,361923,,,,,337666,,189028,,77285,,386425,,,0.337666,0.378057,0.386425,0.386425,,,,,,305939,196227,846053,423027,356396,999,114745,500,381097,200,190548,100,,250157,135066,0.378057,0.386425,0.386425,339559,0.337666,151223,0.77285,0.77285,379875,0.337666,0.756114,15457,115927,379875,0.337666,0.756114,115927,15457,0.125078,0.16978,0.189938,0.189938,125,,
32,,,,,,,,,,,421786,22965,930612,465306,683414,430856,184653,0.923266,394927,166212,611002,305501,,,,,337428,,183.72,,74449,,372245,,,0.337428,0.367441,0.372245,0.372245,,,,,,341707,215428,923266,461633,320865,999,100852,500,332245,200,166122,100,,246164,134971,0.367441,0.372245,0.372245,329617,0.337428,146976,0.74449,0.74449,367802,0.337428,0.734881,148898,111673,367802,0.337428,0.734881,111673,148898,0.123082,0.164809,0.183901,0.183901,125,,
33,,,,,,,,,,,415778,22072,887389,443694,752888,466942,199005,0.995023,348182,142353,519849,259924,,,,,332623,,176576,,709911,,354956,,,0.332623,0.353152,0.354956,0.354956,,,,,,376444,233471,995023,497512,290933,999,899531,500,295066,200,147533,100,,239355,133049,0.353152,0.354956,0.354956,316505,0.332623,141261,0.709911,0.709911,352361,0.332623,0.706303,141982,106487,352361,0.332623,0.706303,106487,141982,0.119678,0.158253,0.176181,0.176181,125,,
34,,,,,,,,,,,405294,210305,839704,419852,819332,500386,212167,106083,306705,122905,447683,223841,,,,,324235,,168244,,671763,,335881,,,0.324235,0.336487,0.335881,0.335881,,,,,,409666,250193,106083,530417,266099,999,815636,500,267403,200,133701,100,,230519,129694,0.336487,0.335881,0.335881,301371,0.324235,134595,0.671763,0.671763,334838,0.324235,0.672974,134353,100764,334838,0.324235,0.672974,100764,134353,0.11526,0.150685,0.167419,0.167419,125,,
35,,,,,,,,,,,391501,199063,790115,395058,882037,531013,224102,112051,270776,107274,391203,195601,,,,,313.2,,159251,,632092,,316046,,,0.3132,0.318501,0.316046,0.316046,,,,,,441018,265506,112051,560254,245781,999,752432,500,247399,200,123699,100,,22034,12528,0.318501,0.316046,0.316046,285139,0.3132,1274,0.632092,0.632092,316253,0.3132,0.637002,126418,0.948138,316253,0.3132,0.637002,0.948138,126418,0.11017,0.142569,0.158126,0.158126,125,,
36,,,,,,,,,,,375429,187502,740496,370248,940527,558768,234816,117408,240149,948048,347222,173611,,,,,300343,,150002,,592397,,296198,,,0.300343,0.300003,0.296198,0.296198,,,,,,470264,279384,117408,587039,229394,999,706142,500,233525,200,116763,100,,209377,120137,0.300003,0.296198,0.296198,268515,0.300343,120001,0.592397,0.592397,297374,0.300343,0.600006,118479,0.888595,297374,0.300343,0.600006,0.888595,118479,0.104689,0.134257,0.148687,0.148687,125,,
37,,,,,,,,,,,357939,175993,692148,346074,994523,583685,244345,122173,21.43,848825,312977,156489,,,,,286351,,140794,,553718,,276859,,,0.286351,0.281588,0.276859,0.276859,,,,,,497262,291843,122173,610864,216387,999,673633,500,224554,200,112277,100,,198071,11454,0.281588,0.276859,0.276859,252014,0.286351,112635,0.553718,0.553718,278754,0.286351,0.563176,110744,0.830578,278754,0.286351,0.563176,0.830578,110744,0.0990355,0.126007,0.139377,0.139377,125,,
38,,,,,,,,,,,339722,164795,645925,322963,10439,605857,252749,126375,192607,769758,286213,143107,,,,,271778,,131836,,51674,,25837,,,0.271778,0.263672,0.25837,0.25837,,,,,,521952,302929,126375,631873,206.27,999,652352,500,219513,200,109756,100,,186752,108711,0.263672,0.25837,0.25837,235995,0.271778,105469,0.51674,0.51674,260771,0.271778,0.527345,103348,0.775111,260771,0.271778,0.527345,0.775111,103348,0.0933762,0.117997,0.130386,0.130386,125,,
39,,,,,,,,,,,321315,154083,602347,301173,108867,625419,260097,130049,174442,706485,265156,132578,,,,,257052,,123266,,481877,,240939,,,0.257052,0.246533,0.240939,0.240939,,,,,,544337,312.71,130049,650243,198611,999,64024,500,217636,200,108818,100,,175662,102821,0.246533,0.240939,0.240939,220694,0.257052,0.986132,0.481877,0.481877,243669,0.257052,0.493066,0.963755,0.722816,243669,0.257052,0.493066,0.722816,0.963755,0.0878309,0.110347,0.121834,0.121834,125,,
